Date,Price,Open,High,Low,Volume,Chg%
18-Oct-11,"5,037.50","5,049.45","5,057.50","5,011.05",125.55M,-1.58%
17-Oct-11,"5,118.25","5,156.20","5,160.20","5,084.50",130.46M,-0.27%
14-Oct-11,"5,132.30","5,057.35","5,141.40","5,056.60",157.78M,1.07%
13-Oct-11,"5,077.85","5,130.80","5,136.95","5,067.65",157.30M,-0.42%
12-Oct-11,"5,099.40","5,011.20","5,109.80","4,997.65",188.01M,2.51%
11-Oct-11,"4,974.35","5,019.90","5,045.10","4,964.00",182.04M,-0.11%
10-Oct-11,"4,979.60","4,886.85","4,991.15","4,882.05",188.84M,1.87%
7-Oct-11,"4,888.05","4,883.65","4,922.60","4,861.20",198.29M,2.88%
5-Oct-11,"4,751.30","4,791.30","4,827.80","4,741.00",179.14M,-0.44%
4-Oct-11,"4,772.15","4,823.50","4,869.75","4,728.30",184.41M,-1.60%
3-Oct-11,"4,849.50","4,874.40","4,879.15","4,823.90",148.92M,-1.90%
30-Sep-11,"4,943.25","4,990.15","5,025.55","4,924.30",201.96M,-1.44%
29-Sep-11,"5,015.45","4,924.20","5,034.25","4,906.00",216.16M,1.41%
28-Sep-11,"4,945.90","5,005.50","5,006.05","4,918.45",166.87M,-0.51%
27-Sep-11,"4,971.25","4,905.15","4,982.95","4,905.15",151.31M,2.81%
26-Sep-11,"4,835.40","4,878.60","4,879.80","4,758.85",156.08M,-0.66%
23-Sep-11,"4,867.75","4,873.75","4,930.25","4,829.60",205.77M,-1.14%
22-Sep-11,"4,923.65","5,054.45","5,059.85","4,907.75",147.61M,-4.08%
21-Sep-11,"5,133.25","5,153.75","5,168.40","5,109.85",132.92M,-0.14%
20-Sep-11,"5,140.20","5,042.55","5,149.90","5,035.25",146.60M,2.15%
19-Sep-11,"5,031.95","5,068.40","5,068.40","5,019.25",115.74M,-1.03%
16-Sep-11,"5,084.25","5,123.35","5,143.60","5,068.10",225.19M,0.17%
15-Sep-11,"5,075.70","5,062.35","5,091.45","4,967.45",153.65M,1.26%
14-Sep-11,"5,012.55","4,965.05","5,026.15","4,917.40",154.28M,1.45%
13-Sep-11,"4,940.95","4,977.80","5,030.15","4,911.05",146.00M,-0.12%
12-Sep-11,"4,946.80","4,981.70","4,985.60","4,911.25",135.50M,-2.23%
9-Sep-11,"5,059.45","5,161.30","5,163.75","5,046.80",158.71M,-1.82%
8-Sep-11,"5,153.25","5,139.20","5,169.25","5,098.25",140.86M,0.56%
7-Sep-11,"5,124.65","5,080.15","5,154.50","5,076.30",193.86M,1.19%
6-Sep-11,"5,064.30","4,993.35","5,072.90","4,942.90",183.68M,0.94%
5-Sep-11,"5,017.20","4,998.90","5,030.30","4,964.45",162.90M,-0.45%
2-Sep-11,"5,040.00","5,109.80","5,113.70","4,993.35",195.06M,0.78%
30-Aug-11,"5,001.00","4,973.25","5,016.25","4,927.55",181.54M,1.65%
29-Aug-11,"4,919.60","4,806.20","4,934.40","4,806.05",145.12M,3.62%
26-Aug-11,"4,747.80","4,839.25","4,872.00","4,720.00",149.72M,-1.90%
25-Aug-11,"4,839.60","4,914.65","4,915.85","4,825.05",184.91M,-1.01%
24-Aug-11,"4,888.90","4,934.35","4,962.40","4,875.30",129.41M,-1.21%
23-Aug-11,"4,948.90","4,925.15","4,965.80","4,863.80",130.01M,1.02%
22-Aug-11,"4,898.80","4,843.70","4,910.05","4,808.75",123.81M,1.10%
19-Aug-11,"4,845.65","4,859.30","4,893.60","4,796.10",166.70M,-1.99%
18-Aug-11,"4,944.15","5,077.95","5,078.60","4,932.15",139.82M,-2.22%
17-Aug-11,"5,056.60","5,030.30","5,112.15","5,017.25",143.34M,0.41%
16-Aug-11,"5,035.80","5,125.75","5,132.20","5,015.40",130.90M,-0.73%
12-Aug-11,"5,072.95","5,194.40","5,194.45","5,053.35",128.84M,-1.27%
11-Aug-11,"5,138.30","5,128.00","5,184.95","5,121.00",113.04M,-0.44%
10-Aug-11,"5,161.00","5,196.55","5,197.95","5,123.35",158.40M,1.74%
9-Aug-11,"5,072.85","4,947.90","5,167.00","4,946.45",233.87M,-0.89%
8-Aug-11,"5,118.50","5,083.85","5,204.20","5,054.05",188.31M,-1.78%
5-Aug-11,"5,211.25","5,204.35","5,229.65","5,116.45",196.02M,-2.26%
4-Aug-11,"5,331.80","5,412.40","5,434.50","5,323.15",118.48M,-1.35%
3-Aug-11,"5,404.80","5,402.00","5,422.60","5,378.85",133.22M,-0.95%
2-Aug-11,"5,456.55","5,493.20","5,496.30","5,433.65",110.37M,-1.09%
